c,q,alpha_h,s,v,lam_max,N_half
1.20,0.126,0.06691146145,0.1337230878,0.03869871187,0.7902672227,2.9447
1.20,0.127,0.06744324269,0.1347842514,0.03900564308,0.7832046499,2.8366
1.20,0.128,0.06797504143,0.1358454118,0.03931256961,0.7752904164,2.7234
1.20,0.129,0.06850685783,0.1369065689,0.03961949145,0.7661022054,2.6015
1.20,0.130,0.06903869201,0.1379677228,0.03992640854,0.7546628364,2.4625
1.20,0.131,0.06957054412,0.1390288735,0.04023332087,0.7368805428,2.2702
1.20,0.132,0.0701024143,0.1400900209,0.04054022839,0.7208782785,2.1179
1.20,0.133,0.07063430267,0.141151165,0.04084713108,0.7208516597,2.1176
1.20,0.134,0.07116620939,0.1422123057,0.04115402891,0.7208248301,2.1174
1.20,0.135,0.07169813458,0.1432734431,0.04146092184,0.7207977872,2.1171
1.20,0.136,0.0722300784,0.144334577,0.04176780984,0.7207705286,2.1169
1.20,0.137,0.07276204097,0.1453957075,0.04207469288,0.7207430587,2.1167
1.20,0.138,0.07329402243,0.1464568346,0.04238157092,0.7207153722,2.1164
1.20,0.139,0.07382602293,0.1475179582,0.04268844394,0.7206874746,2.1162
1.20,0.140,0.07435804259,0.1485790783,0.04299531191,0.7206593610,2.1159
1.20,0.141,0.07489008157,0.1496401948,0.04330217479,0.7206310334,2.1157
1.20,0.142,0.07542214,0.1507013077,0.04360903255,0.7206024911,2.1154
1.20,0.143,0.07595421801,0.1517624171,0.04391588516,0.7205737348,2.1151
1.20,0.144,0.07648631575,0.1528235228,0.04422273258,0.7205447611,2.1149
1.20,0.145,0.07701843335,0.1538846249,0.0445295748,0.7205155718,2.1146
1.20,0.146,0.07755057095,0.1549457232,0.04483641178,0.7204861672,2.1144
1.20,0.147,0.0780827287,0.1560068179,0.04514324348,0.7204565461,2.1141
1.20,0.148,0.07861490672,0.1570679088,0.04545006988,0.7204267099,2.1138
1.20,0.149,0.07914710516,0.158128996,0.04575689094,0.7203966548,2.1136
1.20,0.150,0.07967932416,0.1591900793,0.04606370664,0.7203663832,2.1133
1.20,0.151,0.08021156385,0.1602511588,0.04637051694,0.7203358934,2.1130
1.20,0.152,0.08074382438,0.1613122344,0.04667732182,0.7203051871,2.1127
1.20,0.153,0.08127610588,0.1623733061,0.04698412124,0.7202742612,2.1125
1.20,0.154,0.08180840849,0.163434374,0.04729091518,0.7202431175,2.1122
1.20,0.155,0.08234073235,0.1644954378,0.0475977036,0.7202117554,2.1119
1.20,0.156,0.0828730776,0.1655564977,0.04790448648,0.7201801745,2.1116
1.20,0.157,0.08340544437,0.1666175536,0.04821126379,0.7201483752,2.1113
1.20,0.158,0.08393783281,0.1676786054,0.04851803549,0.7201163539,2.1110
1.20,0.159,0.08447024305,0.1687396531,0.04882480156,0.7200841157,2.1108
1.20,0.160,0.08500267524,0.1698006968,0.04913156196,0.7200516563,2.1105
1.20,0.161,0.08553512951,0.1708617363,0.04943831668,0.7200189750,2.1102
1.20,0.162,0.086067606,0.1719227716,0.04974506567,0.7199860735,2.1099
1.20,0.163,0.08660010485,0.1729838028,0.05005180892,0.7199529513,2.1096
1.20,0.164,0.08713262619,0.1740448297,0.05035854639,0.7199196078,2.1093
1.20,0.165,0.08766517017,0.1751058524,0.05066527805,0.7198860413,2.1090
1.20,0.166,0.08819773693,0.1761668707,0.05097200388,0.7198522528,2.1087
1.20,0.167,0.0887303266,0.1772278848,0.05127872384,0.7198182436,2.1084
