q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.249,0.1233867592,0.2461478361,0.07119155353,0.7171152756,1,-0.9945551283,-0.9945555287,0.1385538367,-1.133109365,-1.094333056,-0.51479337,0.4760172654,4.370300943e-11,5.71965565,0.9999999955,0.9697056214,-0.04604244122
0.248,0.1228882483,0.2451583637,0.07090582603,0.7171612085,1,-0.9906881653,-0.9906885629,0.1379008602,-1.128589423,-1.090016402,-0.5127854281,0.4742126108,1.414598866e-10,5.720949398,0.9999999892,0.9699486884,-0.04582857287
0.247,0.1223897736,0.2441689022,0.07062009689,0.7172069331,1,-0.9868195801,-0.986819976,0.1372490379,-1.124069014,-1.085698697,-0.5107767205,0.4724066069,1.995704617e-10,5.722237239,1.000000009,0.9701907736,-0.04561415778
0.246,0.121891335,0.2431794516,0.0703343661,0.7172524372,1,-0.9829484632,-0.9829488554,0.1365992846,-1.11954814,-1.081379948,-0.5087672507,0.4705992603,1.24581719e-10,5.723519225,0.9999999959,0.9704318772,-0.04539702844
0.245,0.1213929323,0.2421900118,0.07004863366,0.7172977275,1,-0.9790765976,-0.9790769889,0.1359498191,-1.115026808,-1.077060161,-0.5067570238,0.4687905779,2.321715501e-10,5.724795322,0.9999999996,0.9706719991,-0.04518292989
0.244,0.1208945653,0.2412005828,0.06976289957,0.7173428034,1,-0.9752044453,-0.9752048329,0.1353001857,-1.110505019,-1.072739341,-0.5047460426,0.4669805656,2.151488434e-10,5.726065559,0.999999995,0.9709111394,-0.04496890637
0.243,0.1203962338,0.2402111645,0.06947716382,0.7173876657,1,-0.9713275113,-0.9713278972,0.1346548808,-1.105982778,-1.068417497,-0.5027343122,0.4651692307,1.556718544e-10,5.727329935,0.9999999973,0.9711492982,-0.04475391989
0.242,0.1198979379,0.239221757,0.06919142641,0.7174323116,1,-0.9674484198,-0.9674488032,0.1340112855,-1.101460089,-1.064094633,-0.5007218357,0.4633565789,1.14550536e-10,5.72858846,0.9999999869,0.9713864755,-0.04454003572
0.241,0.1193996772,0.2382323601,0.06890568733,0.7174767462,1,-0.9635689331,-0.963569314,0.1333676407,-1.096936955,-1.059770757,-0.4987086175,0.461542617,9.686665359e-11,5.729841136,1.000000001,0.9716226713,-0.04432640902
0.24,0.1189014516,0.2372429739,0.06861994659,0.7175209648,1,-0.9596873468,-0.959687726,0.1327256538,-1.09241338,-1.055445873,-0.4966946616,0.4597273516,8.662635957e-11,5.731087978,1.000000009,0.9718578857,-0.04411374775
