beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0.05,0.0507692307692308,2.30769230766259e-07,-4.39518868189381e-07,3.01566535874931e-08,3.49468911809398e-13
0.05,0.0528205128205128,4.87179487175526e-07,3.38755437034877e-07,3.73891330108372e-07,3.80082318667552e-13
0.05,0.0548717948717949,2.05128205123251e-07,4.33922025977473e-07,-4.69979558499756e-07,4.12478778681186e-13
0.05,0.0569230769230769,7.69230769220863e-08,-3.98062860673676e-07,4.9143737731322e-07,4.44216777522406e-13
0.05,0.058974358974359,3.58974358974362e-07,-4.19502263371285e-07,2.51055970131031e-07,4.80774015832466e-13
0.05,0.061025641025641,3.58974358974362e-07,9.32200072689682e-08,-1.9818873873978e-07,5.17153734298516e-13
0.05,0.0630769230769231,7.69230769220863e-08,-1.5906010220057e-07,1.3666025915765e-07,5.52787373609765e-13
0.05,0.0651282051282051,2.05128205130189e-07,-4.91611784725343e-07,2.48582700833333e-07,5.93163513426268e-13
0.05,0.0671794871794872,4.87179487182465e-07,-2.43625960960614e-07,1.30581814528075e-07,6.3343302885863e-13
0.05,0.0692307692307692,2.30769230766259e-07,2.23837074875277e-07,-2.24314925606484e-07,6.74969842029937e-13
0.05,0.0712820512820513,5.12820512860168e-08,-4.73683558710469e-07,1.76944964451475e-07,7.18059309033869e-13
0.05,0.0733333333333333,3.33333333338293e-07,2.52339891093634e-07,3.27439736894086e-07,7.61805295641858e-13
0.05,0.0753846153846154,3.84615384610432e-07,-3.7066632874172e-08,2.2027416477638e-07,8.07741398278189e-13
0.05,0.0774358974358974,1.02564102558156e-07,1.9053109667766e-07,-1.51419687892396e-07,8.54428160209255e-13
0.05,0.0794871794871795,1.79487179480242e-07,4.35581170687982e-07,2.05518278978412e-07,9.02358893626635e-13
0.05,0.0815384615384615,4.61538461532518e-07,1.63634609862129e-07,2.84276966508457e-07,9.52751407758205e-13
0.05,0.0835897435897436,2.56410256402329e-07,-1.94668668518361e-07,7.80747993131548e-08,2.00610182508094e-13
0.05,0.0856410256410256,2.56410256499473e-08,-2.5231578626439e-07,-4.19839397823585e-07,2.13265993183022e-13
0.05,0.0876923076923077,3.07692307688345e-07,3.41950906146415e-07,-2.16185820307857e-07,2.22387952245957e-13
0.05,0.0897435897435898,4.10256410246501e-07,-1.12950046537996e-07,-3.17652812706348e-07,2.33024140219133e-13
0.05,0.0917948717948718,1.28205128194225e-07,-3.62201094006309e-07,2.69103854581842e-07,2.44547010147012e-13
0.05,0.0938461538461538,1.53846153844173e-07,-2.0845192960639e-07,-4.62538259346501e-07,2.55987765233684e-13
0.05,0.0958974358974359,4.35897435910326e-07,4.90559420862624e-07,4.808324878397e-07,2.67807211328842e-13
