q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.081,0.04051107986763865,0.0017077278090789974,0.04002961077531618,0.08003784251790559,3.4548993538553865,0.023444966612301048,0.02316647587102353,0.9423669614578243,0.05763303854217572,11.676904567817289,real
0.082,0.04101149553125276,0.001750201832819762,0.04052412450889175,0.08102606787035996,3.4549076928821423,0.02373435335738137,0.0234524551950523,0.9408185215412697,0.05918147845873034,11.362134413740863,real
0.083,0.041511921470768584,0.0017931993649158114,0.04101865012198935,0.08201429714744879,3.454916130861764,0.024023738017425394,0.023738433594621546,0.9392438486285919,0.06075615137140811,11.058481022544074,real
0.084,0.04201235781214671,0.00183672049175358,0.04151318770481181,0.08300253028630857,3.4549246676565932,0.024313120568552234,0.024024411027927718,0.9376425321619154,0.0623574678380846,10.765411971739384,real
0.085,0.042512804681371204,0.0018807653007811458,0.04200773740199476,0.08399076733280053,3.4549333031411362,0.024602500986841105,0.024310387484597254,0.936014140655603,0.06398585934439704,10.482425358858682,real
0.086,0.04301326220444994,0.0019253338805087568,0.04250229935819556,0.08497900833277497,3.45494203718841,0.0248918792484246,0.024596362954305843,0.9343582306730878,0.06564176932691224,10.209049364195751,real
0.087,0.043513730507414895,0.001970426320509371,0.04299687371808975,0.08596725333206352,3.4549508696698825,0.025181255329489755,0.02488233742677725,0.9326743280347123,0.06732567196528771,9.944837252423206,real
0.088,0.04401420971632241,0.0020160427114191927,0.043491460626366586,0.08695550237646957,3.454959800455643,0.025470629206277445,0.025168310891779927,0.930961948294032,0.069038051705968,9.689369102653215,real
0.089,0.04451469995725348,0.002062183144938221,0.043986060227733555,0.0879437555117766,3.454968829414213,0.025760000855084376,0.025454283339131425,0.9292205761966708,0.07077942380332924,9.442247028161528,real
0.09,0.045015201356314066,0.0021088477138308075,0.04448067266690189,0.08893201278371866,3.4549779564124896,0.02604937025226418,0.025740254758690875,0.9274496631667339,0.07255033683326606,9.203093755554146,real
0.091,0.045515714039635356,0.0021560365119262137,0.044975298088612455,0.0899202742380314,3.454987181315919,0.02633873737422677,0.026026225140373165,0.9256486514164675,0.07435134858353254,8.971554671482174,real
0.092,0.04601623813337407,0.002203749634119181,0.04546993663761764,0.09090853992041516,3.454996503988376,0.026628102197439888,0.026312194474139766,0.9238169391355111,0.0761830608644889,8.747291990340644,real
0.093,0.04651677376371274,0.0022519871763705033,0.04596458845869305,0.09189680987655781,3.4550059242923115,0.02691746469842861,0.02659816275000484,0.9219538914298694,0.07804610857013061,8.529985451963451,real
0.094,0.04701732105686002,0.0023007492357076083,0.04645925369661995,0.09288508415209892,3.455015442088653,0.02720682485377674,0.026884129958026266,0.9200588615647832,0.07994113843521677,8.31933375974899,real
0.095,0.04751788013905092,0.0023500359102251447,0.04695393249620804,0.09387336279267469,3.455025057236726,0.027496182640128083,0.027170096088319867,0.9181311461322077,0.0818688538677923,8.11504856718847,real
0.096,0.04801845113654717,0.0023998472990855745,0.04744862500227301,0.09486164584387234,3.4550347695943318,0.02778553803418647,0.02745606113104627,0.9161700044539716,0.08382999554602844,7.916856206183599,real
0.097,0.04851903417563746,0.0024501835025197752,0.04794333135965108,0.0958499333512586,3.4550445790177546,0.028074891012716378,0.02774202507641973,0.914174671442456,0.08582532855754399,7.724498208459495,real
0.098,0.04901962938263772,0.002501044621827647,0.04843805171320818,0.09683822536039736,3.455054485361778,0.028364241552543402,0.028027987914713726,0.9121443140768559,0.08785568592314408,7.537726447223309,real
0.099,0.04952023688389146,0.0025524307593787227,0.04893278620781075,0.09782652191679064,3.4550644884797084,0.028653589630554716,0.028313949636244302,0.9100780682373695,0.08992193176263052,7.356306301064697,real
0.1,0.050020856805770016,0.0026043420186127927,0.049427534988362165,0.0988148230659508,3.4550745882232947,0.028942935223700356,0.02859991023139226,0.9079750156996391,0.09202498430036088,7.180013984354538,real
0.101,0.05052148927467285,0.002656778504040528,0.04992229819976329,0.09980312885332097,3.455084784442716,0.029232278308993997,0.028885869690580865,0.9058341700972794,0.0941658299027206,7.0086351329219845,real
0.102,0.05102213441702785,0.0027097403212441155,0.050417075986942964,0.10079143932433537,3.455095076986609,0.02952161886351335,0.029171828004293732,0.9036544938581765,0.09634550614182347,6.841965979428503,real
0.103,0.05152279235929162,0.0027632275768778975,0.05091186849485329,0.10177975452440921,3.455105465702135,0.02981095686440028,0.029457785163071966,0.9014348776412902,0.09856512235870984,6.679811463241966,real
0.104,0.05202346322794975,0.002817240378669016,0.05140667586845716,0.10276807449891312,3.4551159504348923,0.030100292288862147,0.02974374115750813,0.8991741489746933,0.10082585102530672,6.521985724871751,real
0.105,0.05252414714951713,0.00287177883541807,0.05190149825274698,0.10375639929320987,3.4551265310290225,0.030389625114171547,0.03002969597825659,0.8968710430978357,0.10312895690216428,6.368309935856406,real
0.106,0.05302484425053823,0.0029268430569997727,0.05239633579272362,0.10474472895261172,3.4551372073271036,0.030678955317667882,0.03031564961602272,0.8945241972078327,0.10547580279216728,6.21861207434226,real
0.107,0.05352555465758739,0.0029824331543636174,0.052891188633410434,0.10573306352240772,3.455147979170125,0.030968282876758232,0.030601602061571677,0.8921321817142597,0.10786781828574032,6.072728931863738,real
0.108,0.05402627849726912,0.0030385492395345525,0.05338605691985191,0.10672140304786037,3.455158846397588,0.03125760776891713,0.030887553305727195,0.8896934315001148,0.11030656849988518,5.930501859269146,real
0.109,0.05452701589621838,0.0030951914256136604,0.05388094079710908,0.10770974757419581,3.455169808847455,0.031546929971687634,0.031173503339369787,0.8872062805561745,0.11279371944382555,5.791779174346267,real
0.11,0.05502776698110088,0.0031523598267788446,0.05437584041027172,0.10869809714662745,3.455180866356124,0.03183624946268221,0.03145945215344451,0.8846689374617154,0.11533106253828462,5.656414873756614,real
0.111,0.05552853187861337,0.0032100545582855224,0.05487075590443809,0.10968645181031497,3.455192018758518,0.03212556621958258,0.031745399738948896,0.8820794356697448,0.11792056433025522,5.524266376511161,real
0.112,0.056029310715483914,0.003268275736467322,0.05536568742473411,0.1106748116104019,3.455203265888022,0.03241488022014093,0.03203134608694501,0.8794356758112373,0.12056432418876273,5.395197232639629,real
0.113,0.05653010361847223,0.003327023478736797,0.05586063511630766,0.11166317659200346,3.4552146075764987,0.03270419144218039,0.03231729118855643,0.8767353535817414,0.12326464641825863,5.269073946055752,real
0.114,0.05703091071436992,0.0033862979035861294,0.05635559912431932,0.11265154680018767,3.4552260436541875,0.03299349986359664,0.03260323503496441,0.8739759711306132,0.1260240288693868,5.145767243878904,real
0.115,0.05753173213000081,0.0034460991305878567,0.056850579593954696,0.11363992227999906,3.4552375739498755,0.033282805462356985,0.0328891776174137,0.8711548128079093,0.1288451871920907,5.025151583865243,real
0.116,0.058032567992221215,0.003506427280395597,0.057345576670422393,0.11462830307645404,3.4552491982907516,0.033572108216502326,0.03317511892721328,0.8682688618237858,0.13173113817621418,4.9071024515904,real
0.117,0.058533418427920265,0.0035672824747447823,0.057840590498956006,0.11561668923454427,3.455260916502504,0.03386140810414692,0.03346105895573703,0.865314843442929,0.13468515655707103,4.791499244787339,real
0.118,0.05903428356402014,0.0036286648364533963,0.05833562122479545,0.11660508079919865,3.4552727284092586,0.03415070510347961,0.03374699769441395,0.8622891009962927,0.13771089900370725,4.678221408348064,real
0.119,0.059535163527476447,0.003690574489422727,0.058830668993218815,0.11759347781534629,3.455284633833643,0.034439999192763845,0.03403293513474639,0.8591876005837202,0.14081239941627977,4.567150132998042,real
0.12,0.06003605844527842,0.003753011558638114,0.05932573394952029,0.11858188032787179,3.4552966325967502,0.034729290350338664,0.0343188712682981,0.85600584382946,0.14399415617054,4.458166698292059,real
0.121,0.060536968444449286,0.003815976170169714,0.059820816239014106,0.11957028838162237,3.455308724518085,0.03501857855461988,0.03460480608669749,0.8527387853139035,0.14726121468609654,4.351151533120822,real
0.122,0.061037893652046524,0.0038794684511732637,0.06031591600703996,0.12055870202141816,3.4553209094156223,0.035307863784100196,0.034890739581640635,0.8493807758892439,0.15061922411075612,4.245984514991418,real
0.123,0.06153883419516218,0.003943488529890858,0.060811033398952045,0.1215471212920295,3.455333187105804,0.035597146017349805,0.03517667174488538,0.8459253775770484,0.15407462242295156,4.142541681703246,real
0.124,0.06203979020092312,0.00400803653565173,0.06130616856013752,0.12253554623821328,3.4553455574035126,0.035886425233017404,0.03546260256826281,0.8423652569426521,0.15763474305734793,4.040695284841917,real
