q,k_hip,c,alpha_p,alpha_h,s_real,T,lam_max,margin,N_half
0.03,-0.08,1.04,0.015000562556960754,0.014893839473208348,0.02978657767609779,3.6212737557006687,0.9911810888376831,0.008818911162316923,78.25073343847241
0.028,-0.08,1.04,0.01400045737367484,0.013900838183040857,0.027800781006443977,3.621264533162623,0.9923266751119404,0.007673324888059607,89.9850331801958
0.026,-0.08,1.04,0.013000366194516442,0.01290785318664334,0.025814989508614116,3.621255945045698,0.993390832173122,0.006609167826878037,104.5296630591987
0.024,-0.08,1.04,0.012000288018664,0.011914883321096954,0.023829202816265212,3.6212479916963605,0.9943740986362972,0.005625901363702779,122.85952306312936
0.022,-0.08,1.04,0.011000221845413027,0.010921927423862608,0.021843420563540553,3.6212406734349267,0.9952769694010534,0.0047230305989466315,146.41213874130938
0.02,-0.08,1.04,0.010000166674167114,0.009928984333158319,0.01985764238584544,3.621233990556609,0.9960998864188206,0.0039001135811793652,177.3780710385372
0.018,-0.08,1.04,0.009000121504428887,0.008936052888276681,0.017871867920503156,3.6212279433306014,0.9968432542028878,0.003156745797112226,219.2297396751658
0.016,-0.08,1.04,0.008000085335791027,0.007943131930235693,0.015886096808077666,3.6212225320006546,0.9975074311223808,0.0024925688776191723,277.73874933283287
0.014,-0.08,1.04,0.007000057167927228,0.006950220303416211,0.013900328695669508,3.6212177567847195,0.99809273519664,0.0019072648033600093,363.0780379365469
0.012,-0.08,1.04,0.0060000360005832126,0.005957321937323532,0.011914573400279784,3.6212136178877437,0.9985994413220225,0.0014005586779775037,494.5609787138219
0.01,-0.08,1.04,0.005000020833567712,0.0049644263155849315,0.009928811847583135,3.621210115449464,0.9990277932260079,0.0009722067739921236,712.6160846424636
0.13,-0.04,1.04,0.0650458580746109,0.06474283080804778,0.1293952211528424,3.7148946002934826,0.70264056309525,0.29735943690475,1.9640915749515186
0.12,-0.04,1.04,0.06003605844527842,0.05975529397590418,0.11943947800230219,3.714658867644266,0.7963082371125859,0.20369176288741409,3.0432033188298933
0.1,-0.04,1.04,0.050020856805770016,0.049785348475403245,0.09952956970967482,3.7142418680727185,0.8768277363562141,0.12317226364378586,5.2732976232372
0.08,-0.04,1.04,0.040010674353988925,0.03982125942620301,0.07962147189677812,3.7138986885830665,0.9261761596855975,0.07382384031440248,9.038202143047492
0.06,-0.04,1.04,0.030004501823476935,0.02986185167653956,0.05971482751065238,3.7136305303392096,0.960061111476815,0.039938888523184946,17.006266734173114
0.058,-0.04,1.04,0.029004066372440036,0.028866123147872357,0.05772422903457084,3.7136078788745555,0.9627893760695984,0.03721062393040164,18.278904939622556
0.056,-0.04,1.04,0.02800365995804695,0.027870428601318244,0.05573364126417851,3.713585987943355,0.965408746083354,0.03459125391664597,19.689613714824933
0.054,-0.04,1.04,0.027003281576635237,0.026874766799656138,0.05374306370516892,3.71356485830294,0.9679213342950932,0.032078665704906806,21.259274172009267
0.052,-0.04,1.04,0.02600293022479526,0.025879136571927808,0.05175249599510748,3.7135444906838835,0.9703290699917635,0.029670930008236507,23.012841151724313
0.05,-0.04,1.04,0.02500260489936114,0.024883536747337454,0.049761937771310924,3.713524885790077,0.9726337516221979,0.027366248377802105,24.9803659954905
0.048,-0.04,1.04,0.024002304597401634,0.023887966155255656,0.047771388670876554,3.7135060442987653,0.974837038772638,0.025162961227361946,27.198282242874566
0.046,-0.04,1.04,0.023002028316211114,0.022892423625200414,0.0457808483306656,3.7134879668605207,0.976940465668968,0.023059534331032028,29.711106525447867
0.044,-0.04,1.04,0.022001775053300456,0.021896907986852787,0.043790316387355824,3.713470654099235,0.9789454611831744,0.02105453881682562,32.573705867789904
0.042,-0.04,1.04,0.021001543806388006,0.020901418070004996,0.041799792477359037,3.7134541066121183,0.9808533430436204,0.019146656956379626,35.85430479812196
0.04,-0.04,1.04,0.02000133357339049,0.01990595270462275,0.039809276236967006,3.713438324969704,0.9826653307682782,0.017334669231721778,39.63859498469258
0.038,-0.04,1.04,0.019001143352414006,0.01891051072079829,0.03781876730227886,3.713423309715927,0.9843825604348974,0.015617439565102642,44.03541220743027
0.036,-0.04,1.04,0.018000972141744936,0.01791509153433413,0.03582826648020189,3.713409061375203,0.9860060750223434,0.013993924977656613,49.18461871143223
0.034,-0.04,1.04,0.01700081893984093,0.016919692815520145,0.03383777108679587,3.713395580424349,0.9875368501922934,0.012463149807706575,55.26843246191683
0.032,-0.04,1.04,0.01600068274532185,0.0159243139707533,0.03184728190935398,3.71338286733434,0.9889757722006497,0.011024227799350306,62.52768247119294
0.03,-0.04,1.04,0.015000562556960754,0.014928953831018906,0.029856798584191283,3.7133709225431484,0.9903236664714627,0.009676333528537251,71.28611081690835
0.028,-0.04,1.04,0.01400045737367484,0.013933611227427808,0.027866320747534506,3.7133597464618155,0.9915812922644847,0.00841870773551534,81.98709223245393
0.026,-0.04,1.04,0.013000366194516442,0.012938284991373429,0.02587584803585738,3.713349339474574,0.9927493428303086,0.007250657169691421,95.25084835349838
0.024,-0.04,1.04,0.012000288018664,0.011942973954636706,0.0238853800861117,3.7133397019393426,0.9938284536721728,0.0061715463278272376,111.96644115139848
0.022,-0.04,1.04,0.011000221845413027,0.010947676949476553,0.021894916535929523,3.7133308341877362,0.9948192013267415,0.005180798673258491,133.44469487383228
0.02,-0.04,1.04,0.010000166674167114,0.009952392808777326,0.019904457023939327,3.71332273652447,0.995722109890416,0.004277890109584015,161.68332981247042
0.018,-0.04,1.04,0.009000121504428887,0.008957120366602218,0.01791400119089398,3.7133154092279113,0.996537650345162,0.0034623496548380484,199.84883011303071
0.016,-0.04,1.04,0.008000085335791027,0.007961858458754691,0.01592354868081487,3.713308852549868,0.9972662454455972,0.002733754554402834,253.20462659746337
0.014,-0.04,1.04,0.007000057167927228,0.006966605924264274,0.013933099143984688,3.7133030667152966,0.9979082638722114,0.002091736127788568,331.0274072652197
0.012,-0.04,1.04,0.0060000360005832126,0.005971366699553281,0.011942662425120546,3.7132980519385694,0.998464027955722,0.0015359720442780223,450.9292466722419
0.01,-0.04,1.04,0.005000020833567712,0.004976130240814997,0.009952219408913865,3.713293808358907,0.9989338241513805,0.001066175848619455,649.7779961627223
0.13,0.0,1.04,0.0650458580746109,0.06489179199834307,0.12969251792399006,3.814028344515009,0.6959476835991472,0.30405231640085284,1.9122314951260364
0.12,0.0,1.04,0.06003605844527842,0.05989276586287518,0.11971392992260882,3.813744449415382,0.7596409204462639,0.24035907955373614,2.521365598215139
0.1,0.0,1.04,0.050020856805770016,0.04989986336536789,0.09975831506070475,3.8132426169535343,0.8617466692990072,0.13825333070099277,4.658436942490775
0.08,0.0,1.04,0.040010674353988925,0.03991284193751678,0.07980449137904955,3.812829965572377,0.9179127290468213,0.08208727095317869,8.092507093722812
0.06,0.0,1.04,0.030004501823476935,0.02993052143944929,0.0598521056652201,3.8125077345826606,0.9557657189221876,0.044234281077812354,15.320722675476622
0.058,0.0,1.04,0.029004066372440036,0.028932502524739997,0.057856932354057075,3.812480524002951,0.9587982066385538,0.04120179336144625,16.474224563032458
0.056,0.0,1.04,0.02800365995804695,0.027934517734219316,0.05586176963672907,3.8124542282734906,0.9617079235646577,0.03829207643534227,17.752753665532243
0.054,0.0,1.04,0.027003281576635237,0.026936565825587615,0.053866617022476554,3.8124288481757285,0.964497473146361,0.03550252685363897,19.175221462827835
0.052,0.0,1.04,0.02600293022479526,0.02593864562294509,0.05187147415268038,3.8124043844631252,0.9671692449469621,0.0328307550530379,20.764237785220683
0.05,0.0,1.04,0.02500260489936114,0.024940755950596503,0.049876340668552066,3.8123808378617303,0.969725448817119,0.030274551182881027,22.54702497566132
0.048,0.0,1.04,0.024002304597401634,0.023942895632981093,0.04788121621101513,3.8123582090699895,0.9721681179083705,0.027831882091629456,24.556586066489917
0.046,0.0,1.04,0.023002028316211114,0.022945063494729728,0.04588610042084093,3.8123364987589,0.9744991305531399,0.02550086944686014,26.833249933548903
0.044,0.0,1.04,0.022001775053300456,0.021947258360588844,0.043890992938517996,3.8123157075718948,0.9767202232804298,0.023279776719570155,29.42671482762361
0.042,0.0,1.04,0.021001543806388006,0.020949479055472852,0.04189589340437834,3.8122958361248673,0.9788329966774564,0.02116700332254362,32.3987806975943
0.04,0.0,1.04,0.02000133357339049,0.019951724404431822,0.039900801458554305,3.812276885006289,0.9808389333021761,0.019161066697823914,35.827078879207214
0.038,0.0,1.04,0.019001143352414006,0.01895399323266169,0.03790571674102043,3.8122588547771796,0.9827393993849618,0.017260600615038202,39.81018785972285
0.036,0.0,1.04,0.018000972141744936,0.017956284952426294,0.03591064006526975,3.812241745979458,0.9845356510660588,0.015464348933941219,44.4747934154714
