s,v,amp_pct,step,deviation_norm,deviation_normalized
0.400,0.1156,0.3,13,5.064446e-05,8.476084e-02
0.400,0.1156,0.3,14,7.043194e-06,1.178781e-02
0.400,0.1156,0.3,15,1.987121e-05,3.325735e-02
0.400,0.1156,0.3,16,2.064918e-05,3.455939e-02
0.400,0.1156,0.3,17,8.468885e-06,1.417391e-02
0.400,0.1156,0.3,18,2.984940e-06,4.995729e-03
0.400,0.1156,0.3,19,6.764544e-06,1.132144e-02
0.400,0.1156,0.3,20,4.563325e-06,7.637385e-03
0.400,0.1156,0.3,21,7.221010e-07,1.208541e-03
0.400,0.1156,0.3,22,1.704096e-06,2.852052e-03
0.400,0.1156,0.3,23,1.834823e-06,3.070842e-03
0.400,0.1156,0.3,24,7.829199e-07,1.310330e-03
0.400,0.1156,0.3,25,2.392292e-07,4.003847e-04
0.400,0.1156,0.3,26,5.921831e-07,9.911042e-04
0.400,0.1156,0.3,27,4.111362e-07,6.880961e-04
0.400,0.1156,0.3,28,7.293148e-08,1.220614e-04
0.400,0.1156,0.3,29,1.458638e-07,2.441242e-04
0.400,0.1156,0.3,30,1.628509e-07,2.725546e-04
0.400,0.1156,0.3,31,7.217815e-08,1.208006e-04
0.400,0.1156,0.3,32,1.896035e-08,3.173289e-05
0.400,0.1156,0.3,33,5.178441e-08,8.666872e-05
0.400,0.1156,0.3,34,3.700250e-08,6.192905e-05
0.400,0.1156,0.3,35,7.266669e-09,1.216182e-05
0.400,0.1156,0.3,36,1.245820e-08,2.085060e-05
0.400,0.1156,0.3,37,1.444089e-08,2.416893e-05
0.400,0.1156,0.3,38,6.639266e-09,1.111177e-05
0.400,0.1156,0.3,39,1.483004e-09,2.482023e-06
0.400,0.1156,0.3,40,4.522846e-09,7.569639e-06
0.400,0.1156,0.3,41,3.326165e-09,5.566820e-06
0.400,0.1156,0.3,42,7.152769e-10,1.197120e-06
0.400,0.1156,0.3,43,1.061924e-09,1.777284e-06
0.400,0.1156,0.3,44,1.279809e-09,2.141946e-06
0.400,0.1156,0.3,45,6.098389e-10,1.020654e-06
0.400,0.1156,0.3,46,1.139063e-10,1.906386e-07
0.400,0.1156,0.3,47,3.941433e-10,6.596559e-07
0.400,0.1156,0.3,48,2.982343e-10,4.991383e-07
0.400,0.1156,0.3,49,6.928675e-11,1.159614e-07
0.400,0.1156,0.3,50,9.069377e-11,1.517892e-07
0.400,0.1156,0.3,51,1.137336e-10,1.903496e-07
0.400,0.1156,0.3,52,5.632659e-11,9.427071e-08
0.400,0.1156,0.3,53,8.281452e-12,1.386021e-08
0.400,0.1156,0.3,54,3.388127e-11,5.670522e-08
0.400,0.1156,0.3,55,2.627744e-11,4.397911e-08
0.400,0.1156,0.3,56,6.234142e-12,1.043374e-08
0.400,0.1156,0.3,57,8.136400e-12,1.361744e-08
0.400,0.1156,0.3,58,1.052796e-11,1.762007e-08
0.400,0.1156,0.3,59,5.619106e-12,9.404389e-09
0.400,0.1156,0.3,60,4.958442e-13,8.298671e-10
0.400,0.1156,1.0,1,1.110139e-02,5.573937e+00
0.400,0.1156,1.0,2,8.800537e-03,4.418692e+00
0.400,0.1156,1.0,3,3.340797e-03,1.677393e+00
0.400,0.1156,1.0,4,1.551252e-03,7.788733e-01
0.400,0.1156,1.0,5,3.480631e-03,1.747602e+00
0.400,0.1156,1.0,6,2.405968e-03,1.208021e+00
0.400,0.1156,1.0,7,3.325437e-04,1.669680e-01
0.400,0.1156,1.0,8,8.982326e-04,4.509967e-01
0.400,0.1156,1.0,9,9.154982e-04,4.596657e-01
0.400,0.1156,1.0,10,3.751317e-04,1.883512e-01
0.400,0.1156,1.0,11,1.318540e-04,6.620302e-02
0.400,0.1156,1.0,12,3.033274e-04,1.522987e-01
0.400,0.1156,1.0,13,2.060794e-04,1.034711e-01
0.400,0.1156,1.0,14,3.295544e-05,1.654671e-02
0.400,0.1156,1.0,15,7.628286e-05,3.830112e-02
0.400,0.1156,1.0,16,8.225255e-05,4.129847e-02
0.400,0.1156,1.0,17,3.521195e-05,1.767969e-02
0.400,0.1156,1.0,18,1.061704e-05,5.330747e-03
0.400,0.1156,1.0,19,2.653636e-05,1.332373e-02
0.400,0.1156,1.0,20,1.848227e-05,9.279826e-03
0.400,0.1156,1.0,21,3.312576e-06,1.663223e-03
0.400,0.1156,1.0,22,6.522078e-06,3.274693e-03
0.400,0.1156,1.0,23,7.306437e-06,3.668514e-03
0.400,0.1156,1.0,24,3.249873e-06,1.631740e-03
0.400,0.1156,1.0,25,8.409221e-07,4.222215e-04
0.400,0.1156,1.0,26,2.320211e-06,1.164963e-03
0.400,0.1156,1.0,27,1.662611e-06,8.347861e-04
0.400,0.1156,1.0,28,3.295725e-07,1.654762e-04
0.400,0.1156,1.0,29,5.568555e-07,2.795935e-04
0.400,0.1156,1.0,30,6.478745e-07,3.252936e-04
0.400,0.1156,1.0,31,2.988892e-07,1.500703e-04
0.400,0.1156,1.0,32,6.570398e-08,3.298954e-05
0.400,0.1156,1.0,33,2.026446e-07,1.017465e-04
0.400,0.1156,1.0,34,1.494523e-07,7.503904e-05
0.400,0.1156,1.0,35,3.242705e-08,1.628141e-05
0.400,0.1156,1.0,36,4.743391e-08,2.381626e-05
0.400,0.1156,1.0,37,5.739199e-08,2.881614e-05
0.400,0.1156,1.0,38,2.742810e-08,1.377147e-05
0.400,0.1156,1.0,39,5.055273e-09,2.538220e-06
0.400,0.1156,1.0,40,1.767771e-08,8.875864e-06
0.400,0.1156,1.0,41,1.341986e-08,6.738022e-06
0.400,0.1156,1.0,42,3.159375e-09,1.586302e-06
0.400,0.1156,1.0,43,4.030409e-09,2.023642e-06
0.400,0.1156,1.0,44,5.079812e-09,2.550540e-06
0.400,0.1156,1.0,45,2.512423e-09,1.261471e-06
0.400,0.1156,1.0,46,3.820677e-10,1.918337e-07
0.400,0.1156,1.0,47,1.539835e-09,7.731412e-07
0.400,0.1156,1.0,48,1.203323e-09,6.041805e-07
0.400,0.1156,1.0,49,3.048479e-10,1.530621e-07
0.400,0.1156,1.0,50,3.419019e-10,1.716667e-07
0.400,0.1156,1.0,51,4.496272e-10,2.257549e-07
0.400,0.1156,1.0,52,2.301375e-10,1.155505e-07
0.400,0.1156,1.0,53,2.812107e-11,1.411941e-08
0.400,0.1156,1.0,54,1.335388e-10,6.704895e-08
0.400,0.1156,1.0,55,1.073584e-10,5.390393e-08
0.400,0.1156,1.0,56,2.878274e-11,1.445163e-08
0.400,0.1156,1.0,57,2.932459e-11,1.472369e-08
0.400,0.1156,1.0,58,4.018387e-11,2.017606e-08
0.400,0.1156,1.0,59,2.147138e-11,1.078064e-08
0.400,0.1156,1.0,60,1.898645e-12,9.532975e-10
